"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth13 --nocolor --output ./results/upgrade/100-from-vpn-ids2.csv",,,,"Date:","27 Jul 2017 00:04:50 UTC"

"net/dc2.s1-eth13",,"system"
0.0,1141271.0,27-07 00:08:01
0.0,1307307.0,27-07 00:08:02
0.0,1285687.0,27-07 00:08:03
0.0,1306317.0,27-07 00:08:04
0.0,1180370.0,27-07 00:08:05
0.0,1287557.0,27-07 00:08:06
0.0,1304250.0,27-07 00:08:07
0.0,1305302.0,27-07 00:08:08
0.0,1305362.0,27-07 00:08:09
0.0,1304152.0,27-07 00:08:10
0.0,1304076.0,27-07 00:08:11
0.0,1304644.0,27-07 00:08:12
0.0,1303914.0,27-07 00:08:13
0.0,1305764.0,27-07 00:08:14
0.0,1302148.0,27-07 00:08:15
0.0,1302202.0,27-07 00:08:16
0.0,1305856.0,27-07 00:08:17
42.0,1300093.0,27-07 00:08:18
0.0,1310427.0,27-07 00:08:19
0.0,1308754.0,27-07 00:08:20
0.0,1307551.0,27-07 00:08:21
0.0,1307988.0,27-07 00:08:22
0.0,1309726.0,27-07 00:08:23
0.0,1276943.0,27-07 00:08:24
2220.0,1180709.0,27-07 00:08:25
0.0,1267364.0,27-07 00:08:26
370.0,878532.0,27-07 00:08:27
0.0,1308485.0,27-07 00:08:28
0.0,1308293.0,27-07 00:08:29
42.0,1307840.0,27-07 00:08:30
0.0,1307372.0,27-07 00:08:31
0.0,1306732.0,27-07 00:08:32
1110.0,1297569.0,27-07 00:08:33
1480.0,1270027.0,27-07 00:08:34
370.0,1288876.0,27-07 00:08:35
370.0,1299311.0,27-07 00:08:36
0.0,1297557.0,27-07 00:08:37
370.0,1308045.0,27-07 00:08:38
370.0,1288503.0,27-07 00:08:39
740.0,1251585.0,27-07 00:08:40
370.0,1204429.0,27-07 00:08:41
0.0,1305666.0,27-07 00:08:42
0.0,1308403.0,27-07 00:08:43
0.0,1308339.0,27-07 00:08:44
0.0,1310512.0,27-07 00:08:45
1850.0,1250691.0,27-07 00:08:46
370.0,950589.0,27-07 00:08:47
370.0,1020319.0,27-07 00:08:48
0.0,1290353.0,27-07 00:08:49
0.0,1285774.0,27-07 00:08:50
0.0,1305163.0,27-07 00:08:51
0.0,1185298.0,27-07 00:08:52
0.0,1284445.0,27-07 00:08:53
0.0,1304496.0,27-07 00:08:54
0.0,1304784.0,27-07 00:08:55
0.0,1305046.0,27-07 00:08:56
0.0,1304692.0,27-07 00:08:57
0.0,1303644.0,27-07 00:08:58
0.0,1305672.0,27-07 00:08:59
0.0,1302886.0,27-07 00:09:00
0.0,1304384.0,27-07 00:09:01
0.0,1303507.0,27-07 00:09:02
0.0,1305501.0,27-07 00:09:03
42.0,1301433.0,27-07 00:09:04
0.0,1299078.0,27-07 00:09:05
0.0,1309695.0,27-07 00:09:06
0.0,1308924.0,27-07 00:09:07
0.0,1308292.0,27-07 00:09:08
0.0,1307889.0,27-07 00:09:09
0.0,1308614.0,27-07 00:09:10
0.0,1296726.0,27-07 00:09:11
0.0,1209556.0,27-07 00:09:12
2220.0,1241329.0,27-07 00:09:13
0.0,866704.0,27-07 00:09:14
370.0,1298210.0,27-07 00:09:15
0.0,1308108.0,27-07 00:09:16
0.0,1308953.0,27-07 00:09:17
42.0,1307432.0,27-07 00:09:18
0.0,1306604.0,27-07 00:09:19
1110.0,1297923.0,27-07 00:09:20
0.0,1306699.0,27-07 00:09:21
1480.0,1270846.0,27-07 00:09:22
370.0,1291068.0,27-07 00:09:23
370.0,1285681.0,27-07 00:09:24
370.0,1308995.0,27-07 00:09:25
370.0,1287850.0,27-07 00:09:26
0.0,1309231.0,27-07 00:09:27
740.0,1252118.0,27-07 00:09:28
370.0,1201677.0,27-07 00:09:29
0.0,1308350.0,27-07 00:09:30
0.0,1308179.0,27-07 00:09:31
0.0,1308065.0,27-07 00:09:32
0.0,1308421.0,27-07 00:09:33
2220.0,1093925.0,27-07 00:09:34
370.0,969731.0,27-07 00:09:35
0.0,1142135.0,27-07 00:09:36
0.0,1306227.0,27-07 00:09:37
0.0,1285675.0,27-07 00:09:38
0.0,1306459.0,27-07 00:09:39
0.0,1183416.0,27-07 00:09:40
0.0,1284327.0,27-07 00:09:41
0.0,1304358.0,27-07 00:09:42
0.0,1305680.0,27-07 00:09:43
0.0,1304660.0,27-07 00:09:44
0.0,1304368.0,27-07 00:09:45
0.0,1304130.0,27-07 00:09:46
0.0,1304698.0,27-07 00:09:47
0.0,1303644.0,27-07 00:09:48
0.0,1304492.0,27-07 00:09:49
